iter	Passed	Remaining
0	69	1047481	127	95829
2	184	91940
3	244	91297
4	302	90540
5	373	93119
6	423	90354
7	473	88399
8	526	87269
9	594	88590
10	659	89215
11	707	87746
12	757	86691
13	823	87378
14	877	86851
15	935	86799
16	986	86100
17	1048	86363
18	1147	89443
19	1226	90725
20	1307	92073
21	1402	94195
22	1472	94580
23	1527	93937
24	1572	92801
25	1633	92604
26	1689	92177
27	1740	91524
28	1790	90841
29	1864	91373
30	1915	90764
31	1965	90165
32	2022	89917
33	2095	90358
34	2151	90046
35	2200	89499
36	2245	88785
37	2296	88343
38	2347	87952
39	2388	87185
40	2453	87300
41	2523	87606
42	2576	87293
43	2619	86668
44	2689	86952
45	2763	87353
46	2827	87405
47	2883	87215
48	2966	87844
49	3018	87541
50	3073	87320
51	3135	87298
52	3210	87662
53	3272	87627
54	3320	87246
55	3363	86729
56	3429	86829
57	3479	86511
58	3529	86212
59	3580	85943
60	3635	85766
61	3711	86092
62	3756	85694
63	3802	85318
64	3859	85209
65	3933	85464
66	3988	85304
67	4035	84986
68	4104	85118
69	4144	84663
70	4185	84233
71	4237	84047
72	4279	83658
73	4348	83787
74	4403	83665
75	4450	83381
76	4533	83773
77	4622	84280
78	4713	84791
79	4800	85203
80	4851	84984
81	4922	85125
82	4976	84964
83	5051	85145
84	5122	85281
85	5206	85598
86	5290	85918
87	5355	85928
88	5447	86357
89	5510	86338
90	5578	86381
91	5668	86753
92	5764	87217
93	5862	87685
94	5967	88253
95	6055	88567
96	6110	88375
97	6196	88646
98	6290	89021
99	6368	89161
100	6465	89561
101	6536	89594
102	6632	89962
103	6701	89960
104	6754	89732
105	6829	89819
106	6967	90707
107	7053	90917
108	7132	91018
109	7239	91486
110	7324	91656
111	7403	91753
112	7468	91673
113	7579	92156
114	7689	92612
115	7805	93130
116	7906	93462
117	7980	93472
118	8027	93159
119	8122	93411
120	8228	93778
121	8320	93983
122	8391	93940
123	8452	93797
124	8495	93454
125	8601	93799
126	8674	93782
127	8745	93742
128	8845	94008
129	8947	94297
130	8997	94030
131	9065	93951
132	9151	94065
133	9265	94451
134	9351	94556
135	9456	94843
136	9544	94955
137	9607	94820
138	9660	94588
139	9739	94609
140	9817	94626
141	9881	94505
142	9961	94532
143	10049	946311144	10153	948781145	10223	948111146	10317	94963
147	10418	951711148	10472	949521149	10565	950931150	10694	95540
151	10758	95412
152	10849	95518
153	10921	95454
154	10975	952341155	11056	952521156	11144	95330
157	11234	954215158	11309	953815159	11382	953311160	11465	95351161	11526	9519811162	11640	954811163	11731	955611164	11855	959231165	11972	962101166	12163	97091
167	12197	96709
168	12348	97250
169	12401	97022
170	12485	97036
171	12579	97126
172	12668	97174
173	12740	97088
174	12804	96951
175	12907	97100
176	13000	97173
177	13183	97912
178	13220	97567
179	13290	97460
180	13375	97471
181	13453	97430
182	13550	97517
183	13652	97647
184	13746	97708
185	13850	97844
186	13945	97913
187	14040	97986
188	14200	98501
189	14466	99741
190	14514	994719191	14573	99279
192	14630	990719193	14706	990019194	14779	989119195	14855	988319196	14949	988711197	15058	990111198	15144	990119199	15218	989220200	15431	997320201	15495	995720202	15537	992720203	15612	991820204	15688	991020205	15766	990420206	15902	993320207	15990	99325
208	16044	991020209	16139	991421210	16224	991121211	16317	991321212	16373	989321213	16435	987621214	16523	9875215	16615	98768
216	16710	98798
21217	16792	987521218	16897	988421219	16962	986922220	17074	988122221	17144	986922222	17249	987722223	17334	987422224	17456	98919
225	17620	99328
226	17679	99145
227	17754	99053
228	17815	988822229	17890	987872230	17963	98684
231	18094	98893
232	18195	98941
233	18277	98885
234	18406	99081
235	18465	989012236	18591	99078
237	18754	994452238	18824	993232239	18910	992802240	19022	993752241	19136	994772242	19210	993732243	19305	99376
244	19415	994532245	19461	992052246	19557	992112247	19699	99448
248	19757	99262249	19788	98940
2250	19971	993822251	20027	991822252	20185	99492
253	20220	991892254	20288	990572255	20420	992302256	20467	989912257	20558	989662258	20679	990842259	20780	99108
260	20887	991552261	20950	989952262	21005	987952263	21160	990712264	21214	988662265	21263	986432266	21332	985132267	21405	98399268	21543	98585
269	21621	98496
270	21735	98573
271	21843	98615
272	21900	98430
273	22022	98536
274	22129	98577
275	22194	98425
276	22297	98447
277	22358	98281
278	22415	98098
279	22468	97898
280	22536	97766
2281	22679	979542282	22751	97838283	22866	97905
284	22963	97896
285	23017	97705
286	23064	97479
287	23150	97425
288	23291	97596
289	23337	97373
290	23398	97214
291	23456	97038
292	23539	96971
293	23616	96874
294	23674	96705
295	23741	96570
296	23919	96886
297	24173	97503
298	24229	97321
299	24370	97481
300	24443	97367
301	24678	97896
302	24714	97635
303	24754	97390
304	24796	97154
305	24850	96966
3306	24934	968933307	25119	97214
308	25193	97106
309	25242	96898
310	25521	97571
311	25574	97378
312	25621	97164
313	25836	97587
314	26012	97858
315	26113	97842
316	26202	97783
317	26302	97766
318	26425	97831
319	26585	98034
320	26687	98021
321	26825	98136
322	26909	98056
323	27040	98145
324	27119	98045
325	27254	98149
326	27406	98312
327	27499	98259
328	27561	98098
329	27682	98148
330	27790	98148
331	27868	98042
332	28022	98203
333	28152	98280
334	28231	98178
335	28279	97968
336	28371	97912
337	28416	97692
338	28521	97678
339	28655	97764
340	28720	97614
341	28778	97443
342	28877	97410
343	28916	97172
344	28962	96962
345	29007	96747
346	29043	96505
347	29074	96247
348	29098	95967
349	29132	95720
350	29175	95505
351	29196	95221
352	29225	94960
353	29244	94672
354	29265	94391
355	29296	94144
356	29321	938735357	29638	94544
358	29742	94530
359	29780	94303
360	29946	94484
361	29993	94288
362	30044	94106
363	30200	94252
364	30280	94160
365	30383	94138
366	30480	94099
367	30555	93991
368	30790	94374
369	30844	94201
370	30917	94085
371	30963	93890
372	31138	94082
373	31184	93885
374	31241	93724
375	31562	94351
376	31652	94286
377	31722	94161
378	31822	94125
379	31922	94087
380	32017	94036
381	32104	93961
382	32270	94114
383	32404	94174
384	32520	94181
385	32553	93950
386	32584	93711
387	32614	934738388	32653	9326389	32688	93036
390	32763	92928
391	32871	92912
392	32930	92759
393	33176	93129
394	33283	93110
395	33402	93121
396	33535	93173
397	33607	93055
398	33801	93272
399	33892	93205
400	33975	93113
401	34173	93338
402	34327	93441
403	34368	93236
404	34479	93222
405	34560	93125
406	34616	92961
407	34738	92976
408	34885	93057
409	34935	92876
410	35059	92895
411	35150	92824
412	35237	92744
413	35396	92850
414	35457	92701
415	35562	92668
416	35649	92586
417	35727	92480
418	35781	92314
419	35858	92208
420	35967	92182
421	36038	92060
422	36115	91953
423	36187	91833
424	36233	91649
425	36337	91610
426	36456	91611
427	36529	91495
428	36620	91423
429	36744	91435
430	36822	91330
431	36894	91211
432	36954	91063
433	36973	90813
434	36990	90563
435	37009	90316
436	37041	90104
437	37089	89929
438	37140	89764
439	37317	89902
440	37482	90008
441	37541	89862
442	37621	89765
443	37724	89722
444	37782	89575
445	37899	89565
446	38027	89581
447	38082	89426
448	38122	89235
449	38245	89238
450	38325	89144
451	38414	89066
452	38516	89021
453	38594	88919
454	38703	88890
455	38850	88946
456	38920	88828
457	39053	88851
458	39139	88766
459	39163	88542
460	39226	88408
461	39308	88316
462	39408	88265
463	39501	88196
464	39604	88151
465	39750	88202
466	39833	88111
467	39885	87952
468	40073	88092
469	40125	87934
470	40192	87808
471	40280	87729
472	40375	87665
473	40449	87556
474	40564	87534
475	40660	87470
476	40755	87406
477	40926	87504
478	40969	87328
479	41044	87218
480	41122	87118
481	41265	87154
482	41323	87011
483	41441	86993
484	41487	86824
485	41543	86676
486	41702	86743
487	41786	86655
488	41925	86679
489	42012	86598
490	42149	86616
491	42194	86446
492	42232	86264
493	42448	86442
494	42489	86266
495	42549	86128
496	42633	86038
497	42709	85934
498	42816	85891
499	42895	85791
500	42992	85727
501	43148	85780
502	43233	85693
503	43284	85539
504	43465	85639
505	43531	85514
506	43661	85514
507	43747	85428
508	43940	85551
509	44007	85426
510	44094	85341
511	44139	85175
512	44280	85194
513	44376	85126
514	44448	85013
515	44583	85020
516	44659	84914
517	44770	84873
518	44864	84801
519	44910	84639
520	44946	84458
521	45097	84492
522	45203	84443
523	45278	84335
524	45372	84264
525	45442	84146
526	45521	84046
527	45617	83977
528	45711	83905
529	45781	83787
530	45852	83673
531	45927	83568
532	46008	83470
533	46059	83320
534	46156	83255
535	46266	83211
536	46346	83113
537	46438	83036
538	46449	82816
539	46471	82615
540	46507	82440
541	46542	82265
542	46575	82085
543	46602	81897
544	46632	81714
545	46663	81533
546	46700	81363
547	46733	81186
548	46789	81051
549	46815	80862
550	46876	80736
551	46910	80562
552	46942	80387
553	46989	80239
554	47024	80068
555	47056	79894
556	47155	79833
557	47282	79820
558	47457	79888
559	47583	79872
560	47663	79779
561	47720	79647
562	47906	79729
563	48185	79967
564	48365	80037
565	48425	79909
566	48470	79757
567	48749	79990
568	48759	79781
569	48838	79683
570	48960	79656
571	49084	79633
572	49250	79678
573	49319	79563
574	49464	79573
575	49510	79423
576	49917	79850
577	49969	79709
578	49989	79517
579	50091	79455
580	50193	79394
581	50280	79308
582	50394	79265
583	50533	79261
584	50633	79195
585	50657	79011
586	50711	78875
587	50819	78822
588	50937	78784
589	50986	78639
590	51037	78499
591	51088	78358
592	51270	78419
593	51347	78318
594	51388	78162
595	51483	78088
596	51556	77981
597	51601	77834
598	51645	77684
599	51832	77749
600	51897	77630
601	51974	77530
602	52096	77496
603	52142	77351
604	52223	77256
605	52292	77144
606	52341	77002
607	52476	76988
608	52538	76866
609	52639	76802
610	52734	76728
611	52901	76758
